Symbol	H358.siNeg.1	H358.siNeg.2	H358.siNeg.3	H358.siKRAS.1	H358.siKRAS.2	H358.siKRAS.3	H358.siUHRF1.1	H358.siUHRF1.2	H358.siUHRF1.3	A549.siNeg.1	A549.siNeg.2	A549.siNeg.3	A549.siKRAS.1	A549.siKRAS.2	A549.siKRAS.3	A549.siUHRF1.1	A549.siUHRF1.2	A549.siUHRF1.3
ARF5	5.62534738	5.629491154	5.771870384	6.118076284	6.123608685	6.129470149	5.777454476	5.62371796	5.518482237	6.104783936	6.083368264	6.0897932	5.753111952	5.830333523	5.584227609	5.726144295	5.737017538	5.920533356
SARM1	3.758450183	3.9076557	3.707046384	4.758605524	4.743055979	4.729269992	4.10806943	4.288933712	4.014786357	4.357924114	4.275017655	4.429894015	5.626426749	5.518151808	5.640377194	3.92898148	4.07042818	3.832396645
POLDIP2	7.569237415	7.502071513	7.624460733	7.263840617	7.264991065	7.256453926	7.431181119	7.404613452	7.415616815	8.29218009	8.282583721	8.282173772	7.852484414	7.919343146	7.859001304	8.088555501	8.038633135	8.068479889
PLXND1	6.015891168	6.167502398	6.009184614	5.451712714	5.436694049	5.323797714	6.329765202	6.30997062	6.206239611	6.375942745	6.381882404	6.511164283	6.477868156	6.669123614	6.508847955	6.489704228	6.409631311	6.462713968
AK2	8.041326226	7.993881179	8.02816211	7.568155425	7.578453744	7.637818906	7.991145742	7.964755589	8.000380073	7.958303284	7.94305832	7.914124357	7.412662603	7.387975664	7.354201126	7.652303908	7.669853433	7.676667244
CD38	0.669294396	0.748205647	0.993481327	0.562188353	0.671976694	0.707101497	0.632640405	0.871168188	0.409346624	1.384302204	1.708084411	1.49918565	2.219119754	2.366112374	2.697780557	1.917966734	1.54916509	1.962896308
FKBP4	8.845648784	8.748372087	8.793374544	8.625604465	8.574873608	8.54461969	9.040141832	8.972687064	8.972281467	7.681824042	7.642066177	7.68668984	7.686095038	7.563551202	7.64093484	7.793714312	7.664108291	7.654949019
KDM1A	6.501208764	6.457151694	6.509663549	6.630091621	6.719367119	6.626332664	6.663082273	6.616959186	6.636411559	6.862581037	6.819775941	6.760918588	6.631603858	6.627217826	6.637848343	6.748129135	6.722382593	6.746384412
RBM6	6.047046989	5.994070607	5.88192517	5.882915482	5.847600328	5.810222149	5.812843616	5.804116575	5.923031822	6.271602493	6.33296164	6.262536561	5.75948115	5.760717903	5.743821774	5.807950369	5.916186587	5.975483405
CAMKK1	3.265521073	3.232543266	3.305012869	3.259173734	3.357127273	3.253800772	3.209363205	3.171908	3.162856983	5.350005559	5.256763935	5.399400649	5.42079222	5.503401636	5.261352531	5.59401991	5.50694889	5.500967586
RECQL	5.159874706	5.130539407	4.996594735	4.914987549	5.012067315	4.735973509	4.978074907	5.009166582	4.849106818	5.596043533	5.673566527	5.666267438	5.380038086	5.510795572	5.380668384	5.300978628	5.546743715	5.45143228
VPS50	4.569417534	4.606195123	4.524909001	4.679201924	4.623418394	4.670996305	4.357681401	4.318914192	4.499478064	4.445163234	4.468621551	4.320409463	4.456602878	4.284652659	4.427588901	4.487843241	4.397683971	4.452039798
HSPB6	0.106501029	0.398185438	0.230034983	0.106501029	0.190544087	0.106501029	0.183756067	0.57248669	0.106501029	4.405107147	4.574446973	4.681851986	5.895822015	6.084357851	6.00021147	5.49458487	5.510612303	5.482116284
ARHGAP33	2.163418473	1.802800257	2.038601638	2.096180745	2.169718927	2.121111057	2.283003641	1.823520149	2.200754649	2.165157293	1.815589691	2.351094916	2.325973642	2.193078471	1.956998387	2.376952874	2.777669447	2.530983268
NDUFAB1	6.190934183	6.192700821	6.295675445	5.77511053	5.940034983	5.921732156	6.219428751	6.03538003	5.946752966	7.149081518	7.000566169	7.065207046	6.515985322	6.484302069	6.481603607	6.876913711	6.89628419	6.852943333
PDK4	1.787594912	1.802800257	1.653508035	2.852992	2.875953022	2.689384487	1.903678483	1.737341647	2.062840261	5.190829078	5.607787417	5.384366258	8.50604366	8.338846785	8.464421271	7.552990126	7.642566621	7.636313193
ARX	1.239285927	1.190798683	1.061591674	2.027087864	1.766169479	1.876112811	1.250673838	1.329560554	0.805045832	1.286898701	1.631688854	1.202741116	2.063098651	2.193078471	2.02961415	1.317360605	1.367162993	1.445026459
SLC25A13	5.355830438	5.489322764	5.301295486	5.274878946	5.317927425	5.161481289	5.226496476	5.157567999	5.2174055	6.29527616	6.35391884	6.315808216	6.371699001	6.327751026	6.465333847	6.011585537	6.060625965	6.007476076
ST7	4.295233804	4.33157688	4.536922236	4.88112775	4.707838287	4.817240607	4.777733132	4.826442198	4.717400208	5.291568236	5.401826515	5.390398828	5.982770633	5.885411747	5.961294281	5.771030747	5.663232884	5.680368595
CDC27	5.756221917	5.657341538	5.798310913	5.282310383	5.250999072	5.217640511	5.49250257	5.428994561	5.536832586	7.205977017	7.372539713	7.212081646	6.942719989	6.911849358	6.925177386	7.171618658	7.25953496	7.248347139
HCCS	5.868298064	5.809370202	5.859380215	6.29381095	6.214237993	6.203888796	6.083664673	5.998805431	6.059838709	6.947703277	6.890125409	6.872872051	6.911602539	6.800118414	6.891477683	6.748129135	6.846423648	6.812769031
DVL2	5.35809077	5.247381725	5.38342783	5.256131135	5.170503077	5.156492971	4.95897255	4.940115513	5.109450734	6.001112659	5.898074293	6.003870682	5.800209349	5.751384834	5.743821774	5.80463281	5.629936801	5.605698779
PRSS22	5.84753415	5.861180749	6.08478122	5.206215081	5.377412299	5.198353827	6.004694514	6.118699893	5.787289889	1.010036657	0.940484665	0.756331552	0.106501029	0.106501029	0.106501029	0.106501029	0.253663081	0.106501029
UPF1	7.450861877	7.425184526	7.498045853	7.330772693	7.24670317	7.216867767	7.467358196	7.36265171	7.402095968	7.462385702	7.442692269	7.545154814	7.09527944	7.251198524	7.15557854	7.346062612	7.323413866	7.378411839
SKAP2	6.292516905	6.167502398	6.25079436	5.881692898	6.003857092	5.969444189	6.006024581	6.118699893	6.109724236	6.635362237	6.613039959	6.545359367	7.628977244	7.477489623	7.598299414	7.137743883	7.142815507	7.157404665
